Timestamp,Heart Rate (BPM),Prosody Level Applied,Reference HR
2025-11-18 15:14:18.855156,67,1.00,68
2025-11-18 15:14:19.935298,67,1.00,68
2025-11-18 15:14:20.833405,67,1.00,68
2025-11-18 15:14:21.854498,68,1.00,68
2025-11-18 15:14:22.872806,69,1.00,68
2025-11-18 15:14:23.832736,69,1.00,68
2025-11-18 15:14:24.853280,70,1.00,68
2025-11-18 15:14:25.935630,70,1.00,68
2025-11-18 15:14:26.835197,70,1.00,68
2025-11-18 15:14:27.855408,71,1.00,68
2025-11-18 15:14:28.875006,70,1.00,68
2025-11-18 15:14:29.834827,69,1.00,68
2025-11-18 15:14:30.854340,69,1.00,68
2025-11-18 15:14:31.874432,68,1.00,68
2025-11-18 15:14:32.832504,69,1.00,68
2025-11-18 15:14:33.852902,70,1.00,68
2025-11-18 15:14:34.874036,70,1.00,68
2025-11-18 15:14:35.835150,70,1.00,68
2025-11-18 15:14:36.913175,70,1.00,68
2025-11-18 15:14:37.482455,70,1.00,68
2025-11-18 15:14:37.874429,70,1.00,68
2025-11-18 15:14:38.893753,70,1.00,68
2025-11-18 15:14:39.855632,70,1.00,68
2025-11-18 15:14:40.873865,70,1.00,68
2025-11-18 15:14:41.834897,69,1.00,68
2025-11-18 15:14:42.854818,68,1.00,68
2025-11-18 15:14:43.934891,68,1.00,68
2025-11-18 15:14:44.833526,66,1.00,68
2025-11-18 15:14:45.853036,66,1.00,68
2025-11-18 15:14:46.872714,65,1.00,68
2025-11-18 15:14:47.833371,64,1.00,68
2025-11-18 15:14:48.854758,65,1.00,68
2025-11-18 15:14:49.935142,66,1.00,68
