Timestamp,Heart Rate (BPM),Prosody Level Applied,Reference HR
2025-11-18 14:09:32.829953,72,1.00,68
2025-11-18 14:09:33.788571,72,1.00,68
2025-11-18 14:09:34.648199,72,1.00,68
2025-11-18 14:09:34.807339,73,1.00,68
2025-11-18 14:09:35.828226,73,1.00,68
2025-11-18 14:09:36.789813,73,1.00,68
2025-11-18 14:09:37.807584,73,1.00,68
2025-11-18 14:09:38.828606,73,1.00,68
2025-11-18 14:09:39.847471,73,1.00,68
2025-11-18 14:09:40.807794,72,1.00,68
2025-11-18 14:09:41.827635,72,1.00,68
2025-11-18 14:09:42.787784,71,1.00,68
2025-11-18 14:09:43.807567,70,1.00,68
2025-11-18 14:09:44.889487,70,1.00,68
2025-11-18 14:09:45.789945,69,1.00,68
2025-11-18 14:09:46.868584,69,1.00,68
2025-11-18 14:09:47.827493,69,1.00,68
2025-11-18 14:09:48.838766,70,1.00,68
2025-11-18 14:09:49.807480,70,1.00,68
2025-11-18 14:09:50.827177,71,1.00,68
2025-11-18 14:09:51.791166,72,1.00,68
2025-11-18 14:09:52.808450,71,1.00,68
2025-11-18 14:09:52.947817,71,1.00,68
2025-11-18 14:09:53.828277,71,1.00,68
2025-11-18 14:09:54.789404,70,1.00,68
2025-11-18 14:09:55.869385,69,1.00,68
2025-11-18 14:09:56.831368,69,1.00,68
2025-11-18 14:09:57.795712,69,1.00,68
2025-11-18 14:09:58.810698,70,1.00,68
2025-11-18 14:09:59.830469,71,1.00,68
2025-11-18 14:10:00.790455,71,1.00,68
2025-11-18 14:10:01.811240,72,1.00,68
2025-11-18 14:10:02.889505,71,1.00,68
2025-11-18 14:10:03.848782,71,1.00,68
2025-11-18 14:10:04.809870,70,1.00,68
2025-11-18 14:10:05.829575,69,1.00,68
2025-11-18 14:10:06.789556,69,1.00,68
2025-11-18 14:10:07.808380,69,1.00,68
2025-11-18 14:10:08.889055,70,1.00,68
2025-11-18 14:10:09.789661,70,1.00,68
2025-11-18 14:10:10.869312,71,1.00,68
2025-11-18 14:10:11.829283,72,1.00,68
2025-11-18 14:10:12.787778,73,1.00,68
2025-11-18 14:10:13.809168,74,1.00,68
2025-11-18 14:10:14.830008,75,1.00,68
2025-11-18 14:10:15.791707,75,1.00,68
2025-11-18 14:10:16.811024,75,1.00,68
2025-11-18 14:10:17.407187,75,1.00,68
2025-11-18 14:10:17.889346,74,1.00,68
2025-11-18 14:10:18.787570,73,1.00,68
2025-11-18 14:10:19.810030,73,1.00,68
2025-11-18 14:10:20.829802,72,1.00,68
2025-11-18 14:10:21.790932,72,1.00,68
2025-11-18 14:10:22.810685,71,1.00,68
2025-11-18 14:10:23.829598,71,1.00,68
2025-11-18 14:10:24.789467,70,1.00,68
2025-11-18 14:10:25.809017,69,1.00,68
2025-11-18 14:10:26.830901,68,1.00,68
2025-11-18 14:10:27.788952,67,1.00,68
2025-11-18 14:10:28.808679,68,1.00,68
2025-11-18 14:10:29.828089,68,1.00,68
2025-11-18 14:10:30.847798,69,1.00,68
2025-11-18 14:10:31.807700,70,1.00,68
2025-11-18 14:10:32.827380,71,1.00,68
2025-11-18 14:10:33.788746,72,1.00,68
2025-11-18 14:10:34.807489,74,1.00,68
2025-11-18 14:10:35.827673,75,1.00,68
2025-11-18 14:10:36.197522,75,1.00,68
2025-11-18 14:10:36.848359,75,1.00,68
2025-11-18 14:10:37.808813,75,1.00,68
2025-11-18 14:10:38.829570,74,1.00,68
2025-11-18 14:10:39.907725,73,1.00,68
2025-11-18 14:10:40.808908,73,1.00,68
2025-11-18 14:10:41.829820,73,1.00,68
2025-11-18 14:10:42.795261,72,1.00,68
2025-11-18 14:10:43.809841,72,1.00,68
2025-11-18 14:10:44.888368,71,1.00,68
2025-11-18 14:10:45.850736,71,1.00,68
2025-11-18 14:10:46.810190,70,1.00,68
2025-11-18 14:10:47.828818,70,1.00,68
2025-11-18 14:10:48.789290,70,1.00,68
2025-11-18 14:10:49.810165,70,1.00,68
2025-11-18 14:10:50.890519,70,1.00,68
2025-11-18 14:10:51.849198,70,1.00,68
2025-11-18 14:10:52.810489,69,1.00,68
2025-11-18 14:10:53.830243,69,1.00,68
2025-11-18 14:10:54.789646,70,1.00,68
2025-11-18 14:10:55.809922,70,1.00,68
2025-11-18 14:10:56.889450,71,1.00,68
2025-11-18 14:10:57.789357,72,1.00,68
2025-11-18 14:10:58.807794,73,1.00,68
2025-11-18 14:10:59.723555,73,1.00,68
2025-11-18 14:10:59.827729,74,1.00,68
2025-11-18 14:11:00.789714,74,1.00,68
2025-11-18 14:11:01.807355,73,1.00,68
2025-11-18 14:11:02.828760,72,1.00,68
2025-11-18 14:11:03.790674,72,1.00,68
2025-11-18 14:11:04.809143,72,1.00,68
2025-11-18 14:11:05.829241,72,1.00,68
2025-11-18 14:11:06.787818,72,1.00,68
2025-11-18 14:11:07.809343,72,1.00,68
2025-11-18 14:11:08.829515,72,1.00,68
2025-11-18 14:11:09.850378,72,1.00,68
2025-11-18 14:11:10.809624,71,1.00,68
2025-11-18 14:11:11.828420,71,1.00,68
2025-11-18 14:11:12.789135,71,1.00,68
2025-11-18 14:11:13.848707,71,1.00,68
2025-11-18 14:11:14.828921,72,1.00,68
2025-11-18 14:11:15.847877,73,1.00,68
2025-11-18 14:11:16.807716,74,1.00,68
2025-11-18 14:11:17.618439,74,1.00,68
2025-11-18 14:11:17.829042,74,1.00,68
2025-11-18 14:11:18.789919,74,1.00,68
2025-11-18 14:11:19.812201,74,1.00,68
2025-11-18 14:11:20.827650,73,1.00,68
2025-11-18 14:11:21.790297,72,1.00,68
2025-11-18 14:11:22.807982,71,1.00,68
2025-11-18 14:11:23.889376,70,1.00,68
2025-11-18 14:11:24.788035,69,1.00,68
2025-11-18 14:11:25.812605,68,1.00,68
2025-11-18 14:11:26.830654,68,1.00,68
2025-11-18 14:11:27.790139,67,1.00,68
2025-11-18 14:11:28.807731,67,1.00,68
2025-11-18 14:11:29.829331,68,1.00,68
2025-11-18 14:11:30.787668,68,1.00,68
2025-11-18 14:11:31.807264,69,1.00,68
2025-11-18 14:11:32.827669,69,1.00,68
2025-11-18 14:11:33.788756,69,1.00,68
2025-11-18 14:11:34.734285,69,1.00,68
2025-11-18 14:11:34.807149,69,1.00,68
2025-11-18 14:11:35.827524,69,1.00,68
2025-11-18 14:11:36.788166,69,1.00,68
2025-11-18 14:11:37.808028,69,1.00,68
2025-11-18 14:11:38.828049,69,1.00,68
2025-11-18 14:11:39.789732,70,1.00,68
2025-11-18 14:11:40.868188,71,1.00,68
2025-11-18 14:11:41.827644,71,1.00,68
2025-11-18 14:11:42.847747,70,1.00,68
2025-11-18 14:11:43.807479,70,1.00,68
2025-11-18 14:11:44.830528,69,1.00,68
2025-11-18 14:11:45.788057,68,1.00,68
2025-11-18 14:11:46.807790,67,1.00,68
2025-11-18 14:11:47.888747,67,1.00,68
2025-11-18 14:11:48.788304,68,1.00,68
2025-11-18 14:11:49.867928,68,1.00,68
2025-11-18 14:11:50.828952,69,1.00,68
2025-11-18 14:11:51.787574,70,1.00,68
2025-11-18 14:11:51.819544,70,1.00,68
2025-11-18 14:11:52.807148,70,1.00,68
2025-11-18 14:11:53.828902,69,1.00,68
2025-11-18 14:11:54.789676,68,1.00,68
2025-11-18 14:11:55.809118,67,1.00,68
2025-11-18 14:11:56.887504,66,1.00,68
2025-11-18 14:11:57.789225,66,1.00,68
2025-11-18 14:11:58.807963,65,1.00,68
2025-11-18 14:11:59.827923,65,1.00,68
2025-11-18 14:12:00.788994,66,1.00,68
2025-11-18 14:12:01.807660,66,1.00,68
2025-11-18 14:12:02.827669,67,1.00,68
2025-11-18 14:12:03.788079,67,1.00,68
2025-11-18 14:12:04.809949,67,1.00,68
2025-11-18 14:12:05.828507,67,1.00,68
2025-11-18 14:12:06.789319,67,1.00,68
2025-11-18 14:12:07.867221,67,1.00,68
2025-11-18 14:12:08.829006,68,1.00,68
2025-11-18 14:12:09.790213,68,1.00,68
2025-11-18 14:12:10.809069,69,1.00,68
2025-11-18 14:12:11.767549,70,1.00,68
2025-11-18 14:12:11.936427,70,1.00,68
2025-11-18 14:12:12.787451,71,1.00,68
2025-11-18 14:12:13.809734,72,1.00,68
2025-11-18 14:12:14.768722,71,1.00,68
2025-11-18 14:12:15.849085,71,1.00,68
2025-11-18 14:12:16.807891,71,1.00,68
2025-11-18 14:12:17.770480,71,1.00,68
2025-11-18 14:12:18.788108,71,1.00,68
2025-11-18 14:12:19.810675,71,1.00,68
2025-11-18 14:12:20.770100,70,1.00,68
2025-11-18 14:12:21.790226,69,1.00,68
2025-11-18 14:12:22.870357,68,1.00,68
2025-11-18 14:12:23.768968,67,1.00,68
2025-11-18 14:12:24.788640,67,1.00,68
2025-11-18 14:12:25.871898,67,1.00,68
2025-11-18 14:12:26.769281,68,1.00,68
2025-11-18 14:12:27.910623,68,1.00,68
2025-11-18 14:12:28.809860,68,1.00,68
2025-11-18 14:12:29.769238,69,1.00,68
2025-11-18 14:12:30.790794,69,1.00,68
2025-11-18 14:12:31.809905,70,1.00,68
2025-11-18 14:12:32.380220,70,1.00,68
2025-11-18 14:12:32.766945,71,1.00,68
2025-11-18 14:12:33.788349,71,1.00,68
2025-11-18 14:12:34.808393,70,1.00,68
2025-11-18 14:12:35.768912,70,1.00,68
2025-11-18 14:12:36.789623,69,1.00,68
2025-11-18 14:12:37.808309,69,1.00,68
2025-11-18 14:12:38.768929,69,1.00,68
2025-11-18 14:12:39.790232,69,1.00,68
2025-11-18 14:12:40.808014,70,1.00,68
2025-11-18 14:12:41.768037,70,1.00,68
2025-11-18 14:12:42.789455,70,1.00,68
2025-11-18 14:12:43.809716,70,1.00,68
2025-11-18 14:12:44.768960,70,1.00,68
2025-11-18 14:12:45.790324,69,1.00,68
2025-11-18 14:12:46.868712,69,1.00,68
2025-11-18 14:12:47.767653,68,1.00,68
2025-11-18 14:12:48.846931,69,1.00,68
2025-11-18 14:12:49.808771,69,1.00,68
2025-11-18 14:12:50.768320,70,1.00,68
2025-11-18 14:12:51.789400,71,1.00,68
2025-11-18 14:12:52.807244,72,1.00,68
2025-11-18 14:12:53.768870,72,1.00,68
2025-11-18 14:12:54.788958,73,1.00,68
2025-11-18 14:12:55.808661,73,1.00,68
2025-11-18 14:12:56.405314,73,1.00,68
2025-11-18 14:12:56.767618,72,1.00,68
2025-11-18 14:12:57.787238,72,1.00,68
2025-11-18 14:12:58.808327,71,1.00,68
2025-11-18 14:12:59.767195,70,1.00,68
2025-11-18 14:13:00.790014,71,1.00,68
2025-11-18 14:13:01.868036,71,1.00,68
2025-11-18 14:13:02.831031,71,1.00,68
2025-11-18 14:13:03.787887,71,1.00,68
2025-11-18 14:13:04.810429,70,1.00,68
2025-11-18 14:13:05.768768,69,1.00,68
2025-11-18 14:13:06.788555,69,1.00,68
2025-11-18 14:13:07.807711,68,1.00,68
2025-11-18 14:13:08.770402,69,1.00,68
2025-11-18 14:13:09.851383,70,1.00,68
2025-11-18 14:13:10.809313,71,1.00,68
2025-11-18 14:13:11.828046,72,1.00,68
2025-11-18 14:13:12.791237,72,1.00,68
2025-11-18 14:13:13.566168,72,1.00,68
2025-11-18 14:13:13.809385,72,1.00,68
2025-11-18 14:13:14.767369,71,1.00,68
2025-11-18 14:13:15.788427,71,1.00,68
2025-11-18 14:13:16.870027,70,1.00,68
2025-11-18 14:13:17.769931,70,1.00,68
2025-11-18 14:13:18.788545,70,1.00,68
2025-11-18 14:13:19.869811,71,1.00,68
2025-11-18 14:13:20.768657,71,1.00,68
2025-11-18 14:13:21.848174,71,1.00,68
2025-11-18 14:13:22.809592,70,1.00,68
2025-11-18 14:13:23.767771,69,1.00,68
2025-11-18 14:13:24.848583,68,1.00,68
2025-11-18 14:13:25.807072,68,1.00,68
2025-11-18 14:13:26.768092,67,1.00,68
2025-11-18 14:13:27.790264,67,1.00,68
2025-11-18 14:13:28.809676,67,1.00,68
2025-11-18 14:13:29.769143,68,1.00,68
2025-11-18 14:13:30.788045,68,1.00,68
2025-11-18 14:13:31.867922,69,1.00,68
2025-11-18 14:13:32.768902,69,1.00,68
2025-11-18 14:13:33.790254,70,1.00,68
2025-11-18 14:13:34.807108,71,1.00,68
2025-11-18 14:13:35.768408,71,1.00,68
2025-11-18 14:13:36.790538,70,1.00,68
2025-11-18 14:13:37.635839,70,1.00,68
2025-11-18 14:13:37.806819,70,1.00,68
2025-11-18 14:13:38.827472,68,1.00,68
2025-11-18 14:13:39.787764,67,1.00,68
2025-11-18 14:13:40.807634,67,1.00,68
2025-11-18 14:13:41.769539,66,1.00,68
